"D:\temp\HonghaoSu\October-2022\001-CoTXSS1.D"," +EI TIC Scan 001-CoTXSS1.D "
"D:\temp\HonghaoSu\October-2022\001-CoTXSS1.D" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\temp\HonghaoSu\October-2022\013-Co1-1.D" ,"14" ,4.474,4.487,4.528,140251.80,146181.92,1.79,2.97,0.15,0.054,0.013,239939.87,237380.00,4.462,4.470,4.520,4.528,239939.87,237380.00,2.66,379587.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\013-Co1-1.D" ,"15" ,4.528,4.545,4.570,269186.50,246078.18,3.01,5.69,0.25,0.041,0.014,237380.00,226526.00,4.520,4.528,4.561,4.603,237380.00,222738.75,1.10,500710.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\013-Co1-1.D" ,"16" ,4.638,4.669,4.693,1031131.08,1002976.67,12.29,21.80,1.02,0.055,0.015,238171.04,239342.02,4.628,4.636,4.694,4.744,238171.04,239342.02,1.06,1269968.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\013-Co1-1.D" ,"17" ,4.745,4.760,4.818,342779.90,626071.29,7.67,7.25,0.63,0.073,0.031,242046.21,264149.00,4.694,4.744,4.802,4.827,242046.21,244437.10,3.81,585326.00,,,  ,73.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\013-Co1-1.D" ,"18" ,4.860,4.884,4.918,4729286.31,5503064.13,67.42,100.00,5.58,0.058,0.018,313459.00,442183.00,4.802,4.827,4.909,4.926,245787.27,247678.26,0.96,4975884.00,,,  ,117.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\013-Co1-1.D" ,"19" ,4.918,4.951,4.974,435051.71,797341.09,9.77,9.20,0.81,0.057,0.034,442183.00,249529.35,4.909,4.926,5.009,5.067,247678.26,249529.35,0.33,683810.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\013-Co1-1.D" ,"20" ,5.092,5.108,5.147,1592775.70,1472205.57,18.04,33.68,1.49,0.055,0.013,263016.00,257563.41,5.009,5.067,5.158,5.183,255394.23,257563.41,1.09,1848819.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\013-Co1-1.D" ,"21" ,5.183,5.199,5.214,108947.15,84912.06,1.04,2.30,0.09,0.031,0.017,225736.44,228531.47,5.158,5.183,5.216,5.257,225736.44,228531.47,0.75,336129.00,,,  ,73.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\013-Co1-1.D" ,"22" ,5.257,5.282,5.323,144459.54,333299.05,4.08,3.05,0.34,0.066,0.044,209308.00,234015.00,5.216,5.257,5.323,5.348,209308.00,234015.00,2.45,363035.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\013-Co1-1.D" ,"23" ,5.442,5.456,5.492,517025.01,594561.03,7.28,10.93,0.60,0.050,0.018,253351.86,255512.96,5.390,5.415,5.489,5.514,253351.86,255512.96,2.58,770970.00,,,  ,143.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\013-Co1-1.D" ,"24" ,5.502,5.539,5.555,1751751.02,1789326.81,21.92,37.04,1.81,0.053,0.017,255939.44,268769.00,5.489,5.514,5.555,5.564,255939.44,258206.32,0.76,2009247.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\013-Co1-1.D" ,"25" ,5.588,5.638,5.713,3955037.69,8161880.84,100.00,83.63,8.28,0.124,0.022,307759.00,598654.00,5.555,5.564,5.680,5.713,259626.29,264953.13,0.91,4216795.00,,,  ,75.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\013-Co1-1.D" ,"26" ,5.713,5.729,5.762,3354881.53,3445767.83,42.22,70.94,3.49,0.050,0.015,598654.00,348181.00,5.680,5.713,5.762,5.779,264953.13,267083.44,0.97,3620545.00,,,  ,117.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\013-Co1-1.D" ,"27" ,5.762,5.804,5.820,428663.71,587571.66,7.20,9.06,0.60,0.058,0.017,348181.00,281164.00,5.762,5.779,5.820,5.829,267083.44,269569.63,0.32,697523.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\013-Co1-1.D" ,"28" ,5.820,5.837,5.869,101464.74,119337.53,1.46,2.15,0.12,0.049,0.018,281164.00,271658.19,5.820,5.829,5.853,5.895,269569.63,271658.19,1.48,371744.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\013-Co1-1.D" ,"29" ,5.928,5.953,6.002,1961732.07,2008911.36,24.61,41.48,2.04,0.074,0.014,277131.00,277352.29,5.853,5.895,6.003,6.069,274185.42,277352.29,1.17,2236983.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\013-Co1-1.D" ,"30" ,6.070,6.102,6.126,167003.71,202280.74,2.48,3.53,0.21,0.056,0.020,280285.60,282675.46,6.003,6.069,6.127,6.176,280285.60,282675.46,1.37,448647.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\013-Co1-1.D" ,"31" ,6.180,6.210,6.219,111257.92,116396.20,1.43,2.35,0.12,0.039,0.024,285004.12,286662.23,6.127,6.176,6.259,6.301,285004.12,286662.23,0.29,397517.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\013-Co1-1.D" ,"32" ,6.332,6.359,6.403,1897178.57,2031652.55,24.89,40.12,2.06,0.070,0.015,291523.93,294539.36,6.259,6.301,6.417,6.433,291523.93,294539.36,0.99,2189830.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\013-Co1-1.D" ,"33" ,6.476,6.499,6.563,275567.10,653232.41,8.00,5.83,0.66,0.087,0.051,297679.98,301393.05,6.417,6.433,6.566,6.574,297679.98,301393.05,3.10,574255.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\013-Co1-1.D" ,"34" ,6.579,6.624,6.682,2629960.25,3356711.48,41.13,55.61,3.40,0.103,0.018,302087.86,318338.00,6.566,6.574,6.673,6.731,302087.86,306500.22,0.65,2933975.00,,,  ,91.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\013-Co1-1.D" ,"35" ,6.723,6.756,6.776,1079739.84,1176400.67,14.41,22.83,1.19,0.053,0.017,306304.00,300084.62,6.673,6.731,6.806,6.831,299768.53,300084.62,0.72,1379706.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\013-Co1-1.D" ,"36" ,6.883,6.897,6.954,169396.98,274819.42,3.37,3.58,0.28,0.071,0.025,282704.10,279191.60,6.864,6.880,6.963,6.980,282704.10,279191.60,2.49,451396.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\013-Co1-1.D" ,"37" ,6.986,7.029,7.054,960481.64,1207926.14,14.80,20.31,1.23,0.068,0.019,277594.32,289738.00,6.963,6.980,7.054,7.063,277594.32,274223.37,0.69,1235933.00,,,  ,91.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\013-Co1-1.D" ,"38" ,7.054,7.087,7.137,1359768.96,2182041.42,26.73,28.75,2.21,0.083,0.020,289738.00,277854.00,7.054,7.063,7.129,7.137,274223.37,270130.88,1.75,1632355.00,,,  ,91.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\013-Co1-1.D" ,"39" ,7.137,7.170,7.224,1094892.45,1960873.91,24.02,23.15,1.99,0.087,0.029,277854.00,265826.57,7.129,7.137,7.261,7.294,270130.88,265826.57,0.93,1363386.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\013-Co1-1.D" ,"40" ,7.303,7.319,7.407,396391.77,704681.91,8.63,8.38,0.71,0.104,0.021,261940.01,256777.00,7.261,7.294,7.402,7.419,261940.01,256777.00,3.89,657519.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\013-Co1-1.D" ,"41" ,7.417,7.452,7.516,438157.25,927489.12,11.36,9.26,0.94,0.100,0.020,256319.35,251399.78,7.402,7.419,7.518,7.535,256319.35,251399.78,2.13,692736.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\013-Co1-1.D" ,"42" ,7.532,7.551,7.568,139974.57,131508.00,1.61,2.96,0.13,0.035,0.018,250594.42,248858.41,7.518,7.535,7.568,7.584,250594.42,248858.41,0.92,389643.00,,,  ,91.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\013-Co1-1.D" ,"43" ,7.588,7.617,7.669,593269.23,865147.11,10.60,12.54,0.88,0.081,0.021,247856.38,243861.19,7.568,7.584,7.675,7.717,247856.38,243861.19,1.07,839663.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\013-Co1-1.D" ,"44" ,7.759,7.783,7.849,213879.60,514151.87,6.30,4.52,0.52,0.090,0.064,238551.49,233868.79,7.675,7.717,7.849,7.891,238551.49,233868.79,2.93,451177.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\013-Co1-1.D" ,"45" ,8.035,8.056,8.073,138004.34,177562.38,2.18,2.92,0.18,0.038,0.021,227799.23,244653.00,8.023,8.032,8.073,8.081,227799.23,225978.37,1.27,364774.00,,,  ,73.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\013-Co1-1.D" ,"46" ,8.073,8.106,8.156,548960.39,911609.89,11.17,11.61,0.92,0.083,0.023,244653.00,225442.00,8.073,8.081,8.148,8.164,225978.37,222022.76,1.62,773357.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\013-Co1-1.D" ,"47" ,8.256,8.288,8.389,2957730.91,4622249.36,56.63,62.54,4.69,0.133,0.023,217236.18,210884.31,8.230,8.255,8.388,8.404,217236.18,210884.31,1.35,3173425.00,,,  ,69.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\013-Co1-1.D" ,"48" ,8.406,8.446,8.470,348984.44,533236.61,6.53,7.38,0.54,0.065,0.023,211329.56,213793.00,8.388,8.404,8.520,8.537,211329.56,209982.37,0.64,559483.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\013-Co1-1.D" ,"49" ,8.578,8.644,8.701,542280.05,1082875.97,13.27,11.47,1.10,0.122,0.025,205850.47,204809.90,8.562,8.578,8.711,8.760,205850.47,204809.90,0.49,747569.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\013-Co1-1.D" ,"50" ,8.808,8.835,8.892,116680.80,286551.16,3.51,2.47,0.29,0.084,0.037,202988.87,202586.01,8.711,8.760,8.876,8.901,202988.87,202586.01,2.16,319540.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\013-Co1-1.D" ,"51" ,8.926,8.959,9.050,2422369.05,3864973.40,47.35,51.22,3.92,0.124,0.024,217482.00,214344.00,8.876,8.901,9.034,9.059,202421.24,201823.98,0.99,2624631.00,,,  ,69.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\013-Co1-1.D" ,"52" ,9.050,9.083,9.133,648986.22,1143083.70,14.01,13.72,1.16,0.083,0.026,214344.00,219638.00,9.034,9.059,9.125,9.141,201823.98,201425.84,1.58,850651.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\013-Co1-1.D" ,"53" ,9.133,9.183,9.216,252967.01,570643.94,6.99,5.35,0.58,0.083,0.031,219638.00,233205.00,9.125,9.141,9.208,9.224,201425.84,201027.70,0.92,454154.00,,,  ,69.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\013-Co1-1.D" ,"54" ,9.216,9.249,9.284,313642.51,551383.71,6.76,6.63,0.56,0.068,0.027,233205.00,200702.42,9.208,9.224,9.290,9.365,201027.70,200702.42,0.58,514511.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\013-Co1-1.D" ,"55" ,9.366,9.406,9.555,296723.29,1079565.68,13.23,6.27,1.09,0.189,0.029,199564.99,200972.00,9.290,9.365,9.522,9.564,199564.99,198694.90,3.93,496104.00,,,  ,69.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\013-Co1-1.D" ,"56" ,9.555,9.589,9.613,82398.53,145636.07,1.78,1.74,0.15,0.058,0.028,200972.00,227819.00,9.522,9.564,9.605,9.622,198694.90,198428.22,1.37,280941.00,,,  ,69.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\013-Co1-1.D" ,"57" ,9.613,9.655,9.762,540350.33,1219721.99,14.94,11.43,1.24,0.149,0.028,227819.00,212675.00,9.605,9.622,9.746,9.787,198428.22,197742.34,1.11,738588.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\013-Co1-1.D" ,"58" ,9.771,9.804,9.829,64368.13,120406.11,1.48,1.36,0.12,0.058,0.028,208486.00,212235.00,9.746,9.787,9.820,9.845,197704.23,197437.54,0.71,261920.00,,,  ,207.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\013-Co1-1.D" ,"59" ,9.829,9.912,10.019,460818.47,1376380.57,16.86,9.74,1.40,0.190,0.036,212235.00,199325.00,9.820,9.845,9.978,10.036,197437.54,196561.20,0.82,657875.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\013-Co1-1.D" ,"60" ,10.085,10.152,10.276,407283.39,1332641.14,16.33,8.61,1.35,0.190,0.042,201333.00,202196.00,10.077,10.094,10.235,10.292,196256.40,195380.06,1.51,603235.00,,,  ,69.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\013-Co1-1.D" ,"61" ,10.284,10.326,10.384,105014.60,340638.56,4.17,2.22,0.35,0.099,0.054,201047.00,204305.00,10.235,10.292,10.375,10.400,195341.95,194884.72,1.47,300166.00,,,  ,91.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\013-Co1-1.D" ,"62" ,10.384,10.442,10.513,269228.96,772866.72,9.47,5.69,0.78,0.130,0.045,204305.00,194288.39,10.375,10.400,10.483,10.549,194884.72,194288.39,0.82,463847.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\013-Co1-1.D" ,"63" ,10.533,10.566,10.599,54759.52,118362.63,1.45,1.16,0.12,0.066,0.034,196074.00,213346.00,10.483,10.549,10.582,10.607,194198.92,193894.12,1.48,248806.00,,,  ,207.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\013-Co1-1.D" ,"64" ,10.599,10.632,10.680,124632.31,280825.77,3.44,2.64,0.28,0.081,0.035,213346.00,193519.64,10.582,10.607,10.682,10.831,193894.12,193519.64,0.78,318374.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\013-Co1-1.D" ,"65" ,10.834,10.872,11.000,95036.26,438865.46,5.38,2.01,0.45,0.167,0.060,195125.95,194706.62,10.682,10.831,10.996,11.088,195125.95,194706.62,3.52,290065.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\013-Co1-1.D" ,"66" ,11.086,11.129,11.154,143261.37,316677.08,3.88,3.03,0.32,0.068,0.038,202712.15,262561.00,10.996,11.088,11.146,11.162,202712.15,203110.01,0.95,346226.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\013-Co1-1.D" ,"67" ,11.154,11.228,11.269,366822.66,1067586.72,13.08,7.76,1.08,0.115,0.038,262561.00,203784.42,11.146,11.162,11.270,11.344,203110.01,203784.42,0.39,570369.00,,,  ,129.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\013-Co1-1.D" ,"68" ,11.396,11.477,11.518,886492.14,2161660.60,26.48,18.74,2.19,0.122,0.035,213928.34,216218.84,11.270,11.344,11.526,11.634,213928.34,216218.84,0.58,1101938.00,,,  ,83.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\013-Co1-1.D" ,"69" ,11.640,11.676,11.742,54139.60,153494.45,1.88,1.14,0.16,0.102,0.045,217881.76,224158.00,11.526,11.634,11.758,11.899,217881.76,220392.41,2.07,272893.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\013-Co1-1.D" ,"70" ,11.898,11.949,11.990,308006.91,705883.32,8.65,6.51,0.72,0.092,0.036,219647.17,225944.00,11.758,11.899,11.982,11.999,219647.17,222186.70,0.83,529052.00,,,  ,207.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\013-Co1-1.D" ,"71" ,11.999,12.040,12.148,733542.83,2609916.80,31.98,15.51,2.65,0.149,0.068,226574.00,232854.00,11.982,11.999,12.131,12.255,222415.02,226523.89,2.60,957099.00,,,  ,218.2,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\013-Co1-1.D" ,"72" ,12.148,12.338,12.371,88734.14,486131.07,5.96,1.88,0.49,0.224,0.084,232854.00,235735.00,12.131,12.255,12.363,12.380,224818.76,229455.95,0.17,317503.00,,,  ,218.2,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\013-Co1-1.D" ,"73" ,12.371,12.413,12.437,114577.53,278567.85,3.41,2.42,0.28,0.066,0.044,235735.00,282519.00,12.363,12.380,12.429,12.446,229455.95,230829.79,0.90,344892.00,,,  ,207.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\013-Co1-1.D" ,"74" ,12.437,12.479,12.652,296673.34,1305188.79,15.99,6.27,1.32,0.214,0.044,282519.00,235269.86,12.429,12.446,12.645,12.818,230829.79,235269.86,2.98,528362.00,,,  ,69.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\013-Co1-1.D" ,"75" ,13.077,13.133,13.183,1724929.23,4360590.19,53.43,36.47,4.42,0.106,0.040,253763.66,341538.00,12.645,12.818,13.175,13.183,253763.66,257072.82,0.98,1980452.00,,,  ,189.2,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\013-Co1-1.D" ,"76" ,13.183,13.233,13.277,1390262.64,3528131.84,43.23,29.40,3.58,0.094,0.039,341538.00,260009.02,13.175,13.183,13.291,13.382,257072.82,260009.02,0.71,1648885.00,,,  ,189.2,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\013-Co1-1.D" ,"77" ,13.440,13.506,13.580,2174288.94,6140834.23,75.24,45.97,6.23,0.140,0.042,286219.95,297907.00,13.291,13.382,13.580,13.597,286219.95,293390.88,1.12,2463861.00,,,  ,69.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\013-Co1-1.D" ,"78" ,13.589,13.622,13.647,84347.08,162341.31,1.99,1.78,0.16,0.058,0.032,295086.00,296795.57,13.580,13.597,13.655,13.721,293815.29,296795.57,0.80,379860.00,,,  ,207.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\013-Co1-1.D" ,"79" ,14.246,14.276,14.307,117371.45,213054.61,2.61,2.48,0.22,0.061,0.031,279698.92,292568.96,14.052,14.243,14.301,14.334,279698.92,292568.96,1.17,403396.00,,,  ,207.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\013-Co1-1.D" ,"80" ,14.317,14.367,14.436,70854.78,299721.34,3.67,1.50,0.30,0.118,0.149,283930.00,319290.11,14.301,14.334,14.392,14.541,252115.50,319290.11,3.78,351186.00,,,  ,207.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\013-Co1-1.D" ,"81" ,15.278,15.311,15.344,332088.17,640539.76,7.85,7.02,0.65,0.066,0.032,815217.00,926559.00,14.392,14.541,15.336,15.353,797515.35,835136.31,1.86,1148414.00,,,  ,207.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\013-Co1-1.D" ,"82" ,15.344,15.394,15.419,157641.43,669109.05,8.20,3.33,0.68,0.075,0.105,926559.00,1012934.00,15.336,15.353,15.402,15.452,835136.31,877450.43,1.00,1020984.00,,,  ,207.1,,,,,,,,,,,

"D:\temp\HonghaoSu\October-2022\014-Co1-2.D"," +EI TIC Scan 014-Co1-2.d "
"No integration results available"
"D:\temp\HonghaoSu\October-2022\014-Co1-2.D"," +EI TIC Scan 014-Co1-2.d "
"D:\temp\HonghaoSu\October-2022\014-Co1-2.D" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\temp\HonghaoSu\October-2022\014-Co1-2.D" ,"1" ,3.130,3.170,3.228,110877.86,213279.73,3.69,2.52,0.25,0.098,0.017,264849.02,277295.00,3.112,3.128,3.195,3.219,264849.02,262637.38,1.48,374830.00,,,  ,75.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\014-Co1-2.D" ,"2" ,3.228,3.244,3.261,130932.26,153821.24,2.66,2.98,0.18,0.033,0.018,277295.00,292780.00,3.195,3.219,3.253,3.261,262637.38,261886.47,0.33,393194.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\014-Co1-2.D" ,"3" ,3.261,3.277,3.324,309136.17,370998.24,6.42,7.03,0.44,0.064,0.017,292780.00,260445.98,3.253,3.261,3.310,3.327,261886.47,260445.98,0.93,570647.00,,,  ,73.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\014-Co1-2.D" ,"4" ,3.360,3.385,3.435,418306.48,503141.47,8.71,9.52,0.59,0.075,0.014,266017.00,261568.00,3.360,3.368,3.426,3.435,259632.99,257942.97,2.58,677376.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\014-Co1-2.D" ,"5" ,3.435,3.451,3.475,102000.68,102198.96,1.77,2.32,0.12,0.041,0.016,261568.00,257018.18,3.426,3.435,3.468,3.484,257942.97,257018.18,1.07,359568.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\014-Co1-2.D" ,"6" ,3.544,3.559,3.592,390672.99,449920.48,7.79,8.89,0.53,0.048,0.018,255457.64,262010.00,3.534,3.542,3.584,3.600,255457.64,254374.72,2.24,645799.00,,,  ,91.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\014-Co1-2.D" ,"7" ,3.592,3.625,3.658,325800.19,469548.69,8.13,7.41,0.55,0.066,0.017,262010.00,270719.00,3.584,3.600,3.658,3.675,254374.72,252872.53,1.01,579424.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\014-Co1-2.D" ,"8" ,3.658,3.683,3.707,112079.94,151832.08,2.63,2.55,0.18,0.049,0.023,270719.00,251761.35,3.658,3.675,3.708,3.716,252872.53,251761.35,0.91,364389.00,,,  ,69.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\014-Co1-2.D" ,"9" ,3.709,3.725,3.747,86308.67,89897.24,1.56,1.96,0.11,0.038,0.021,251724.88,250867.19,3.708,3.716,3.749,3.758,251724.88,250867.19,1.47,337679.00,,,  ,69.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\014-Co1-2.D" ,"10" ,3.783,3.799,3.831,925624.69,858379.87,14.86,21.06,1.01,0.048,0.014,250225.00,248964.47,3.749,3.758,3.874,3.948,250055.57,248964.47,1.20,1175305.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\014-Co1-2.D" ,"11" ,3.961,3.981,4.056,2003615.02,2472018.58,42.79,45.59,2.90,0.095,0.016,246009.50,249782.00,3.874,3.948,4.039,4.056,246009.50,243858.58,2.99,2249164.00,,,  ,68.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\014-Co1-2.D" ,"12" ,4.056,4.072,4.119,337280.44,574116.29,9.94,7.67,0.67,0.063,0.028,249782.00,238823.10,4.039,4.056,4.130,4.147,240657.79,238823.10,2.60,577458.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\014-Co1-2.D" ,"13" ,4.156,4.172,4.197,527357.23,465811.18,8.06,12.00,0.55,0.041,0.017,237764.78,242155.00,4.130,4.147,4.197,4.213,237764.78,236572.71,1.05,764651.00,,,  ,82.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\014-Co1-2.D" ,"14" ,4.197,4.230,4.291,642729.72,726802.28,12.58,14.62,0.85,0.094,0.016,242155.00,233847.35,4.197,4.213,4.296,4.313,236572.71,233847.35,1.53,878341.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\014-Co1-2.D" ,"15" ,4.316,4.329,4.383,150072.18,289912.01,5.02,3.41,0.34,0.067,0.045,233777.34,233138.59,4.296,4.313,4.387,4.395,233777.34,233138.59,4.73,383725.00,,,  ,73.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\014-Co1-2.D" ,"16" ,4.476,4.486,4.519,104800.29,107030.46,1.85,2.38,0.13,0.043,0.030,232253.36,231847.07,4.470,4.478,4.520,4.528,232253.36,231847.07,3.66,336953.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\014-Co1-2.D" ,"17" ,4.530,4.544,4.562,217328.17,171050.47,2.96,4.94,0.20,0.032,0.013,233216.88,233646.47,4.520,4.528,4.569,4.602,233216.88,233646.47,1.22,450745.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\014-Co1-2.D" ,"18" ,4.638,4.669,4.692,1111294.05,1066285.88,18.46,25.28,1.25,0.054,0.015,235084.75,235521.03,4.627,4.636,4.710,4.743,235084.75,235521.03,1.15,1346629.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\014-Co1-2.D" ,"19" ,4.746,4.760,4.809,327475.11,541060.06,9.37,7.45,0.64,0.063,0.028,244157.88,249900.00,4.710,4.743,4.809,4.818,244157.88,243697.71,3.58,571534.00,,,  ,73.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\014-Co1-2.D" ,"20" ,4.859,4.884,4.917,4395096.13,4873772.14,84.36,100.00,5.73,0.058,0.017,297555.00,377431.00,4.809,4.818,4.909,4.925,243336.40,242915.00,0.98,4638252.00,,,  ,117.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\014-Co1-2.D" ,"21" ,4.917,4.950,4.966,401985.87,639263.37,11.07,9.15,0.75,0.049,0.025,377431.00,242560.75,4.909,4.925,5.008,5.041,242915.00,242560.75,0.29,644660.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\014-Co1-2.D" ,"22" ,5.091,5.108,5.132,1405259.10,1144471.38,19.81,31.97,1.34,0.041,0.013,239294.05,242113.00,5.008,5.041,5.157,5.182,239294.05,239107.10,1.09,1644479.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\014-Co1-2.D" ,"23" ,5.182,5.199,5.215,94991.50,100693.94,1.74,2.16,0.12,0.033,0.017,200312.00,206523.00,5.157,5.182,5.224,5.257,200312.00,206523.00,0.91,298409.00,,,  ,73.1,,,,,,,,,,,
