"D:\temp\HonghaoSu\October-2022\Co-batch2\00-Blank-3.D"," +EI TIC Scan 00-Blank-3.d "
"No integration results available"
"D:\temp\HonghaoSu\October-2022\Co-batch2\00-Blank-3.D"," +EI TIC Scan 00-Blank-3.d "
"D:\temp\HonghaoSu\October-2022\Co-batch2\00-Blank-3.D" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\temp\HonghaoSu\October-2022\Co-batch2\052-Co7-4.D" ,"6" ,3.593,3.626,3.659,326609.79,616561.38,4.93,5.82,0.64,0.066,0.021,273817.00,282212.00,3.584,3.601,3.650,3.675,203411.14,204901.66,1.20,530766.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\052-Co7-4.D" ,"7" ,3.659,3.684,3.708,153967.26,334918.13,2.68,2.74,0.35,0.050,0.047,282212.00,262932.00,3.650,3.675,3.708,3.717,204901.66,206019.83,1.00,359428.00,,,  ,69.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\052-Co7-4.D" ,"8" ,3.708,3.733,3.750,188177.46,319489.44,2.55,3.35,0.33,0.041,0.029,262932.00,244356.00,3.708,3.717,3.750,3.775,206019.83,206951.26,1.67,394756.00,,,  ,73.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\052-Co7-4.D" ,"9" ,3.783,3.800,3.848,707642.57,726465.77,5.80,12.61,0.75,0.065,0.013,258432.00,209162.66,3.750,3.775,3.849,3.882,207696.71,209162.66,1.02,915712.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\052-Co7-4.D" ,"10" ,3.949,3.982,4.056,3190742.36,4257546.39,34.02,56.86,4.41,0.108,0.016,239730.00,253249.00,3.907,3.940,4.040,4.056,211423.20,213845.52,2.69,3402911.00,,,  ,68.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\052-Co7-4.D" ,"11" ,4.056,4.089,4.146,481581.40,868764.87,6.94,8.58,0.90,0.090,0.026,253249.00,215871.39,4.040,4.056,4.131,4.147,213845.52,215871.39,1.18,696172.00,,,  ,82.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\052-Co7-4.D" ,"12" ,4.148,4.172,4.197,847278.16,922112.12,7.37,15.10,0.96,0.049,0.017,215900.40,241896.00,4.131,4.147,4.197,4.214,215900.40,217012.92,0.97,1063732.00,,,  ,82.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\052-Co7-4.D" ,"13" ,4.197,4.230,4.296,577794.63,642816.39,5.14,10.30,0.67,0.099,0.015,241896.00,219241.86,4.197,4.214,4.296,4.313,217012.92,219241.86,1.19,795553.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\052-Co7-4.D" ,"14" ,4.315,4.330,4.395,86967.66,218514.51,1.75,1.55,0.23,0.080,0.049,219666.25,221471.53,4.296,4.313,4.379,4.396,219666.25,221471.53,3.82,306962.00,,,  ,73.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\052-Co7-4.D" ,"15" ,4.520,4.545,4.563,210011.38,181968.55,1.45,3.74,0.19,0.043,0.013,228885.00,225250.91,4.512,4.528,4.578,4.603,224279.91,225250.91,1.00,434850.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\052-Co7-4.D" ,"16" ,4.640,4.669,4.690,1039545.33,909879.55,7.27,18.53,0.94,0.051,0.013,226967.37,228107.85,4.628,4.636,4.694,4.735,226967.37,228107.85,1.13,1267179.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\052-Co7-4.D" ,"17" ,4.745,4.777,4.826,301666.00,824685.87,6.59,5.38,0.85,0.082,0.045,229331.37,309224.00,4.694,4.735,4.818,4.826,229331.37,231173.79,1.64,531722.00,,,  ,73.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\052-Co7-4.D" ,"18" ,4.860,4.884,4.918,2965793.05,4045658.11,32.32,52.85,4.19,0.058,0.019,331376.00,525706.00,4.818,4.826,4.918,4.926,231919.24,233223.40,1.66,3198271.00,,,  ,117.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\052-Co7-4.D" ,"19" ,4.918,4.942,5.013,481273.52,1075811.59,8.60,8.58,1.11,0.096,0.038,525706.00,235376.86,4.918,4.926,5.025,5.083,233223.40,235376.86,2.08,715056.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\052-Co7-4.D" ,"20" ,5.088,5.108,5.143,1636152.80,1521635.95,12.16,29.16,1.58,0.056,0.014,250539.87,254659.70,5.025,5.083,5.158,5.183,250539.87,254659.70,0.98,1888211.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\052-Co7-4.D" ,"21" ,5.259,5.282,5.323,131198.21,276782.60,2.21,2.34,0.29,0.064,0.043,210947.56,227410.00,5.232,5.257,5.323,5.348,210947.56,223609.00,1.99,346673.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\052-Co7-4.D" ,"22" ,5.443,5.456,5.479,634930.38,532177.96,4.25,11.32,0.55,0.036,0.014,300692.31,299820.20,5.390,5.415,5.489,5.514,300692.31,299820.20,1.57,935312.00,,,  ,143.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\052-Co7-4.D" ,"23" ,5.516,5.539,5.555,2344749.95,2256010.93,18.03,41.79,2.34,0.039,0.017,298948.11,298016.69,5.489,5.514,5.555,5.564,298948.11,298016.69,0.69,2643149.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\052-Co7-4.D" ,"24" ,5.588,5.638,5.713,5611292.11,12515730.14,100.00,100.00,12.97,0.124,0.026,314138.00,769381.00,5.555,5.564,5.704,5.713,297209.27,294235.61,1.56,5907312.00,,,  ,75.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\052-Co7-4.D" ,"25" ,5.713,5.729,5.771,2176299.98,2657377.72,21.23,38.78,2.75,0.058,0.017,769381.00,439110.00,5.704,5.713,5.762,5.787,294235.61,292847.54,1.05,2470139.00,,,  ,117.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\052-Co7-4.D" ,"26" ,5.787,5.804,5.820,392848.25,468532.09,3.74,7.00,0.49,0.033,0.020,421612.00,338747.00,5.762,5.787,5.820,5.829,292451.34,291658.16,0.60,684903.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\052-Co7-4.D" ,"27" ,5.820,5.837,5.878,124148.44,223407.50,1.79,2.21,0.23,0.058,0.023,338747.00,325870.00,5.820,5.829,5.853,5.895,291658.16,290270.48,3.50,415410.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\052-Co7-4.D" ,"28" ,5.928,5.953,6.011,2719571.19,2646208.23,21.14,48.47,2.74,0.083,0.013,326096.00,294429.00,5.853,5.895,6.052,6.085,289080.70,287098.13,1.02,3008057.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\052-Co7-4.D" ,"29" ,6.085,6.102,6.127,144262.00,184940.16,1.48,2.57,0.19,0.041,0.021,279525.00,277825.00,6.052,6.085,6.152,6.176,279525.00,277825.00,1.53,423107.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\052-Co7-4.D" ,"30" ,6.176,6.210,6.226,166150.67,206039.30,1.65,2.96,0.21,0.050,0.028,272539.00,265806.00,6.152,6.176,6.259,6.301,272539.00,265806.00,0.45,434201.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\052-Co7-4.D" ,"31" ,6.317,6.359,6.402,2044042.74,2180271.08,17.42,36.43,2.26,0.085,0.016,288947.00,277732.56,6.259,6.301,6.408,6.441,279762.35,277732.56,0.96,2322814.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\052-Co7-4.D" ,"32" ,6.478,6.499,6.563,201848.38,458607.42,3.66,3.60,0.48,0.086,0.047,275923.91,273874.43,6.466,6.475,6.566,6.574,275923.91,273874.43,3.17,477249.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\052-Co7-4.D" ,"33" ,6.577,6.624,6.682,2894920.04,3637123.72,29.06,51.59,3.77,0.105,0.018,273550.11,283019.00,6.566,6.574,6.673,6.731,273550.11,271039.29,0.64,3167347.00,,,  ,91.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\052-Co7-4.D" ,"34" ,6.729,6.756,6.776,1039891.21,1088341.77,8.70,18.53,1.13,0.047,0.017,282553.66,279746.33,6.673,6.731,6.822,6.831,282553.66,279746.33,0.75,1320813.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\052-Co7-4.D" ,"35" ,6.883,6.897,6.925,132478.26,154573.92,1.24,2.36,0.16,0.042,0.021,275552.99,273379.55,6.872,6.880,6.955,6.980,275552.99,273379.55,1.91,407315.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\052-Co7-4.D" ,"36" ,6.988,7.029,7.054,1114142.85,1382084.76,11.04,19.86,1.43,0.066,0.019,273746.00,280362.00,6.955,6.980,7.046,7.063,270084.60,266628.74,0.66,1382067.00,,,  ,91.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\052-Co7-4.D" ,"37" ,7.054,7.079,7.137,1678499.53,2684595.20,21.45,29.91,2.78,0.083,0.019,280362.00,273154.00,7.046,7.063,7.129,7.137,266628.74,262308.70,3.24,1943832.00,,,  ,91.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\052-Co7-4.D" ,"38" ,7.137,7.170,7.223,976571.67,1857724.73,14.84,17.40,1.93,0.086,0.030,273154.00,257828.19,7.129,7.137,7.261,7.294,262308.70,257828.19,0.75,1237152.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\052-Co7-4.D" ,"39" ,7.300,7.319,7.410,290960.33,681470.47,5.44,5.19,0.71,0.110,0.024,247004.35,257301.00,7.261,7.294,7.402,7.419,247004.35,242726.50,5.35,537218.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\052-Co7-4.D" ,"40" ,7.410,7.452,7.468,376324.87,575972.72,4.60,6.71,0.60,0.058,0.023,257301.00,378971.00,7.402,7.419,7.460,7.468,242726.50,240478.98,0.53,617446.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\052-Co7-4.D" ,"41" ,7.468,7.477,7.526,285164.09,486589.52,3.89,5.08,0.50,0.058,0.028,378971.00,247266.00,7.460,7.468,7.518,7.526,240478.98,238232.11,2.30,525322.00,,,  ,73.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\052-Co7-4.D" ,"42" ,7.526,7.551,7.584,200045.11,248307.90,1.98,3.57,0.26,0.058,0.019,247266.00,237161.00,7.518,7.526,7.568,7.584,238232.11,235985.24,0.71,437314.00,,,  ,91.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\052-Co7-4.D" ,"43" ,7.584,7.617,7.670,530248.06,795149.73,6.35,9.45,0.82,0.086,0.021,237161.00,232657.50,7.568,7.584,7.675,7.709,235985.24,232657.50,0.95,764949.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\052-Co7-4.D" ,"44" ,7.717,7.783,7.846,174035.82,449159.47,3.59,3.10,0.47,0.129,0.031,237167.00,232610.24,7.675,7.709,7.849,7.882,237753.04,232610.24,2.27,409157.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\052-Co7-4.D" ,"45" ,8.032,8.048,8.073,266338.93,305122.45,2.44,4.75,0.32,0.041,0.020,225220.81,238138.00,8.023,8.032,8.073,8.081,225220.81,223605.88,1.66,490932.00,,,  ,73.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\052-Co7-4.D" ,"46" ,8.073,8.106,8.156,472886.38,788070.36,6.30,8.43,0.82,0.083,0.023,238138.00,230225.00,8.073,8.081,8.147,8.156,223605.88,220315.88,1.73,695176.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\052-Co7-4.D" ,"47" ,8.156,8.172,8.238,216499.25,408778.84,3.27,3.86,0.42,0.082,0.020,230225.00,217056.49,8.147,8.156,8.239,8.255,220315.88,217056.49,1.50,436157.00,,,  ,109.2,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\052-Co7-4.D" ,"48" ,8.256,8.288,8.362,1195637.50,1882107.50,15.04,21.31,1.95,0.106,0.023,216333.24,212104.60,8.239,8.255,8.388,8.404,216333.24,212104.60,1.13,1410689.00,,,  ,69.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\052-Co7-4.D" ,"49" ,8.409,8.437,8.470,308153.14,448936.79,3.59,5.49,0.47,0.060,0.023,218180.13,216611.44,8.388,8.404,8.512,8.528,218180.13,216611.44,1.18,525605.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\052-Co7-4.D" ,"50" ,8.575,8.595,8.611,132547.27,175451.47,1.40,2.36,0.18,0.036,0.027,210631.22,275120.00,8.562,8.570,8.611,8.620,210631.22,209775.05,1.54,342718.00,,,  ,109.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\052-Co7-4.D" ,"51" ,8.611,8.644,8.696,572492.33,954042.84,7.62,10.20,0.99,0.084,0.025,275120.00,207761.68,8.611,8.620,8.711,8.752,209775.05,207761.68,0.74,781476.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\052-Co7-4.D" ,"52" ,8.807,8.835,8.884,93814.87,215910.84,1.73,1.67,0.22,0.077,0.034,206388.49,205606.75,8.711,8.752,8.885,8.926,206388.49,205606.75,1.92,299924.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\052-Co7-4.D" ,"53" ,8.926,8.959,9.050,1783793.53,3035528.25,24.25,31.79,3.15,0.124,0.025,213712.00,213764.00,8.885,8.926,9.034,9.058,204047.82,202685.46,0.89,1987478.00,,,  ,69.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\052-Co7-4.D" ,"54" ,9.050,9.083,9.125,698821.00,1154737.89,9.23,12.45,1.20,0.075,0.026,213764.00,221940.00,9.034,9.058,9.116,9.133,203831.81,202855.95,1.33,902219.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\052-Co7-4.D" ,"55" ,9.125,9.183,9.216,235241.22,720488.06,5.76,4.19,0.75,0.091,0.051,221940.00,221711.00,9.116,9.133,9.208,9.224,202855.95,201663.19,0.59,437338.00,,,  ,69.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\052-Co7-4.D" ,"56" ,9.216,9.249,9.279,285716.62,500889.66,4.00,5.09,0.52,0.063,0.028,221711.00,200839.23,9.208,9.224,9.290,9.357,201663.19,200839.23,0.72,486946.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\052-Co7-4.D" ,"57" ,9.367,9.406,9.542,148386.22,711064.76,5.68,2.64,0.74,0.175,0.075,199395.57,196604.42,9.290,9.357,9.539,9.564,199395.57,196604.42,3.76,347153.00,,,  ,69.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\052-Co7-4.D" ,"58" ,9.605,9.655,9.758,482075.70,998368.59,7.98,8.59,1.03,0.153,0.027,198081.00,193159.44,9.597,9.613,9.754,9.796,195599.09,193159.44,1.03,676883.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\052-Co7-4.D" ,"59" ,9.837,9.903,9.982,593645.25,1507252.29,12.04,10.58,1.56,0.145,0.033,197678.00,193056.11,9.754,9.796,9.986,10.036,194693.15,193056.11,1.16,787591.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\052-Co7-4.D" ,"60" ,10.077,10.152,10.251,467058.46,1509225.37,12.06,8.32,1.56,0.174,0.039,187684.00,190515.00,10.069,10.094,10.243,10.284,178826.47,180191.68,1.48,646470.00,,,  ,69.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\052-Co7-4.D" ,"61" ,10.268,10.326,10.384,116306.25,391142.94,3.13,2.07,0.41,0.116,0.054,186381.00,189413.00,10.243,10.284,10.367,10.392,180321.72,181231.78,1.27,297083.00,,,  ,91.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\052-Co7-4.D" ,"62" ,10.384,10.442,10.508,257381.06,730836.91,5.84,4.59,0.76,0.124,0.046,189413.00,184011.00,10.367,10.392,10.491,10.541,181231.78,182206.99,0.77,439068.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\052-Co7-4.D" ,"63" ,10.591,10.632,10.684,134825.81,308549.88,2.47,2.40,0.32,0.094,0.035,194063.00,183593.43,10.582,10.607,10.690,10.823,182857.08,183593.43,1.30,318008.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\052-Co7-4.D" ,"64" ,10.831,10.872,10.995,83823.55,416761.78,3.33,1.49,0.43,0.164,0.076,184741.67,186032.31,10.690,10.823,10.996,11.088,184741.67,186032.31,3.19,268891.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\052-Co7-4.D" ,"65" ,11.080,11.129,11.146,162079.24,333241.94,2.66,2.89,0.35,0.065,0.046,186700.19,269817.00,10.996,11.088,11.146,11.154,186700.19,187212.81,0.67,349162.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\052-Co7-4.D" ,"66" ,11.146,11.179,11.195,167766.24,374272.32,2.99,2.99,0.39,0.050,0.041,269817.00,303277.00,11.146,11.154,11.187,11.195,187212.81,187602.81,0.50,355239.00,,,  ,129.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\052-Co7-4.D" ,"67" ,11.195,11.228,11.270,360535.10,888587.36,7.10,6.43,0.92,0.075,0.040,303277.00,188190.34,11.187,11.195,11.278,11.328,187602.81,188190.34,0.75,548398.00,,,  ,129.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\052-Co7-4.D" ,"68" ,11.386,11.477,11.526,969288.82,2665506.70,21.30,17.27,2.76,0.140,0.038,196597.00,190196.91,11.278,11.328,11.535,11.618,189098.07,190196.91,0.47,1159102.00,,,  ,83.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\052-Co7-4.D" ,"69" ,11.624,11.667,11.750,65890.49,258466.87,2.07,1.17,0.27,0.126,0.061,192605.08,195791.00,11.535,11.618,11.750,11.883,192605.08,194598.36,2.03,259181.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\052-Co7-4.D" ,"70" ,11.880,11.949,12.007,294450.34,845777.19,6.76,5.25,0.88,0.127,0.038,195889.30,240927.00,11.750,11.883,11.999,12.015,195889.30,199143.25,1.39,492103.00,,,  ,129.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\052-Co7-4.D" ,"71" ,12.007,12.090,12.148,503497.15,1523334.23,12.17,8.97,1.58,0.141,0.039,240927.00,216185.00,11.999,12.015,12.131,12.247,199143.25,202763.86,0.48,704770.00,,,  ,129.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\052-Co7-4.D" ,"72" ,12.148,12.280,12.355,97582.95,472191.01,3.77,1.74,0.49,0.207,0.057,216185.00,226859.00,12.131,12.247,12.330,12.371,202763.86,208087.65,0.61,303754.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\052-Co7-4.D" ,"73" ,12.355,12.396,12.429,83027.34,234048.34,1.87,1.48,0.24,0.075,0.049,226859.00,246520.00,12.330,12.371,12.421,12.429,208087.65,210004.24,0.50,292180.00,,,  ,207.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\052-Co7-4.D" ,"74" ,12.429,12.479,12.562,752711.74,2182617.21,17.44,13.41,2.26,0.133,0.040,246520.00,281884.00,12.421,12.429,12.545,12.570,210004.24,213411.86,1.81,963994.00,,,  ,69.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\052-Co7-4.D" ,"75" ,12.562,12.595,12.650,122216.13,358654.63,2.87,2.18,0.37,0.088,0.073,281884.00,215675.86,12.545,12.570,12.653,12.794,213411.86,215675.86,0.81,336480.00,,,  ,207.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\052-Co7-4.D" ,"76" ,12.951,12.992,13.075,76317.14,275125.63,2.20,1.36,0.29,0.124,0.078,225671.00,236293.00,12.868,12.959,13.059,13.083,223421.27,226615.46,2.71,300803.00,,,  ,207.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\052-Co7-4.D" ,"77" ,13.075,13.133,13.175,423684.53,1091860.20,8.72,7.55,1.13,0.099,0.039,236293.00,265788.00,13.059,13.083,13.166,13.183,226615.46,229171.06,0.98,651791.00,,,  ,189.2,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\052-Co7-4.D" ,"78" ,13.175,13.224,13.259,189670.92,524860.96,4.19,3.38,0.54,0.085,0.045,265788.00,231346.59,13.166,13.183,13.274,13.365,229171.06,231346.59,0.52,420120.00,,,  ,73.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\052-Co7-4.D" ,"79" ,13.431,13.498,13.580,2477054.20,7003059.89,55.95,44.14,7.26,0.149,0.042,254782.00,267340.00,13.274,13.365,13.580,13.589,252194.98,257656.95,1.44,2731677.00,,,  ,69.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\052-Co7-4.D" ,"80" ,13.580,13.613,13.645,96543.75,194889.74,1.56,1.72,0.20,0.064,0.034,267340.00,260012.10,13.580,13.589,13.663,13.713,257656.95,260012.10,1.00,355414.00,,,  ,169.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\052-Co7-4.D" ,"81" ,13.692,13.821,13.932,84361.76,595628.14,4.76,1.50,0.62,0.239,0.117,207140.46,215565.12,13.663,13.713,13.928,14.019,207140.46,215565.12,0.99,296017.00,,,  ,207.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\052-Co7-4.D" ,"82" ,14.327,14.359,14.445,49951.83,174137.63,1.39,0.89,0.18,0.117,0.178,242354.78,265285.95,14.152,14.251,14.400,14.541,242354.78,265285.95,6.89,298475.00,,,  ,207.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\052-Co7-4.D" ,"83" ,15.288,15.311,15.344,312621.35,522637.37,4.18,5.57,0.54,0.056,0.029,726053.86,816379.00,14.400,14.541,15.336,15.344,726053.86,781799.27,1.72,1061724.00,,,  ,91.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\052-Co7-4.D" ,"84" ,15.344,15.386,15.452,128860.96,484949.30,3.87,2.30,0.50,0.108,0.135,816379.00,889563.00,15.336,15.344,15.419,15.493,781799.27,888046.83,2.82,951531.00,,,  ,207.1,,,,,,,,,,,

"D:\temp\HonghaoSu\October-2022\Co-batch2\053-Co7-5.D"," +EI TIC Scan 053-Co7-5.d "
"No integration results available"
"D:\temp\HonghaoSu\October-2022\Co-batch2\053-Co7-5.D"," +EI TIC Scan 053-Co7-5.d "
"D:\temp\HonghaoSu\October-2022\Co-batch2\053-Co7-5.D" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\temp\HonghaoSu\October-2022\Co-batch2\053-Co7-5.D" ,"1" ,3.152,3.170,3.187,185422.80,190593.88,1.82,4.34,0.21,0.035,0.017,274484.20,275142.00,3.112,3.145,3.195,3.228,274484.20,274484.20,0.79,459907.00,,,  ,207.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\053-Co7-5.D" ,"2" ,3.228,3.245,3.261,120251.21,155014.97,1.48,2.81,0.17,0.033,0.103,246945.00,255888.00,3.195,3.228,3.253,3.311,229375.30,229592.28,1.33,349735.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\053-Co7-5.D" ,"3" ,3.311,3.336,3.369,608328.62,613314.41,5.87,14.24,0.68,0.058,0.014,258178.00,236521.00,3.253,3.311,3.361,3.369,229917.64,230297.36,0.99,838409.00,,,  ,73.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\053-Co7-5.D" ,"4" ,3.369,3.385,3.435,391394.26,403644.49,3.86,9.16,0.45,0.066,0.013,236521.00,248562.00,3.361,3.369,3.427,3.435,230297.36,230731.21,1.00,621800.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\053-Co7-5.D" ,"5" ,3.435,3.443,3.509,107285.55,165265.05,1.58,2.51,0.18,0.074,0.018,248562.00,231215.04,3.427,3.435,3.510,3.543,230731.21,231215.04,2.39,338071.00,,,  ,71.2,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\053-Co7-5.D" ,"6" ,3.537,3.559,3.592,505828.22,589640.45,5.64,11.84,0.65,0.055,0.017,231400.70,271948.00,3.510,3.543,3.584,3.601,231400.70,231761.65,2.15,737373.00,,,  ,91.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\053-Co7-5.D" ,"7" ,3.592,3.626,3.659,324564.37,550078.32,5.26,7.60,0.61,0.066,0.020,271948.00,277524.00,3.584,3.601,3.650,3.667,231761.65,232195.50,1.00,556543.00,,,  ,71.1,,,,,,,,,,,
"D:\temp\HonghaoSu\October-2022\Co-batch2\053-Co7-5.D" ,"8" ,3.659,3.684,3.708,156937.76,284170.73,2.72,3.67,0.32,0.050,0.028,277524.00,258889.00,3.650,3.667,3.708,3.717,232195.50,232520.97,1.00,389296.00,,,  ,69.1,,,,,,,,,,,
